timestamp,open,high,low,close,volume
2024-08-02,4.9788,5.049,4.5739,4.6077,869800.9761
2024-08-03,4.6034,4.73,4.2385,4.3644,1074289.0518
2024-08-04,4.3646,4.45,3.99,4.1331,916312.91679358
2024-08-05,4.1352,4.1882,3.0748,3.5247,3850556.0786
2024-08-06,3.5248,3.8127,3.4939,3.6783,1270879.26648483
2024-08-07,3.6774,3.8785,3.5031,3.5658,939913.65682315
2024-08-08,3.5699,4.0858,3.4693,4.0641,1454736.0552
2024-08-09,4.0646,4.1689,3.9116,4.0566,888827.35877822
2024-08-10,4.0571,4.2583,3.9609,4.1625,665714.94355933
2024-08-11,4.163,4.2217,3.8342,3.8628,965730.93374642
2024-08-12,3.8663,4.1359,3.814,4.1112,1021515.55859725
2024-08-13,4.1118,4.4116,3.936,4.3052,858143.4782452
2024-08-14,4.3058,4.3313,4.1071,4.1695,834283.38716581
2024-08-15,4.1693,4.2495,3.9344,4.0258,956687.6906
2024-08-16,4.0269,4.0742,3.8257,3.9703,580720.3218
2024-08-17,3.9683,4.0232,3.9277,3.9927,901704.5442
2024-08-18,3.9921,4.0654,3.8923,3.8956,654603.1196
2024-08-19,3.9006,4.0065,3.8343,4.0005,523449.8844
2024-08-20,4.0016,4.1463,3.9466,3.9992,729913.1253
2024-08-21,4.0001,4.3008,3.96,4.2442,859313.7869
2024-08-22,4.2477,4.3876,4.1668,4.3034,1141177.1064
2024-08-23,4.304,4.8523,4.304,4.8403,1389228.4272051
2024-08-24,4.8413,5.2574,4.7399,5.0395,1088248.21745888
2024-08-25,5.0405,5.0762,4.7797,4.9182,696924.3258
2024-08-26,4.9278,5.0046,4.7046,4.7815,823173.9335
2024-08-27,4.7827,5.0108,4.4252,4.528,1008632.2095
2024-08-28,4.5247,4.6014,4.2194,4.3442,1021239.7585
2024-08-29,4.3431,4.543,4.1208,4.2121,759871.67309177
2024-08-30,4.2104,4.3069,3.936,4.1122,893846.554
2024-08-31,4.1129,4.1634,3.9747,4.0322,915116.62241547
2024-09-01,4.0318,4.0743,3.81,3.8517,908992.9866
2024-09-02,3.8479,4.0309,3.8376,3.9897,811318.3785
2024-09-03,3.9887,4.0775,3.71,3.7245,922752.58462225
2024-09-04,3.7286,3.9416,3.5521,3.8877,1161512.72144601
2024-09-05,3.8888,3.9255,3.6943,3.7117,576880.07808743
2024-09-06,3.7118,3.8125,3.4195,3.5502,1066865.8893
2024-09-07,3.5508,3.7564,3.5449,3.6661,748547.009892
2024-09-08,3.6668,3.8185,3.6438,3.7579,864059.911
2024-09-09,3.7555,4.105,3.7506,4.0151,1412399.16548567
2024-09-10,4.0156,4.0823,3.9378,4.0333,610690.4524
2024-09-11,4.0342,4.0529,3.8175,3.9678,1034622.16942002
2024-09-12,3.9673,4.3004,3.9673,4.2461,905028.3336
2024-09-13,4.2471,4.395,4.1151,4.287,824865.7197334
2024-09-14,4.2864,4.3062,4.1527,4.1924,525276.80445881
2024-09-15,4.1926,4.2617,3.9985,4.0164,792808.9106
2024-09-16,4.0159,4.0307,3.8469,3.8791,620213.9308
2024-09-17,3.8792,4.3204,3.8322,4.133,1235146.9004
2024-09-18,4.1332,4.2559,3.9347,4.2501,1003222.7864
2024-09-19,4.256,4.5869,4.256,4.3642,1957355.9183
2024-09-20,4.3641,4.5099,4.2572,4.3859,990559.5398
2024-09-21,4.386,4.6933,4.2854,4.6679,739246.5756
2024-09-22,4.6675,4.685,4.3829,4.5265,897702.43489428
2024-09-23,4.5265,5.2756,4.394,5.1718,2205640.1887
2024-09-24,5.1822,5.3977,5.0558,5.3426,1170024.99465692
2024-09-25,5.3478,5.4608,5.1093,5.1432,1087741.27326495
2024-09-26,5.1436,5.8743,5.116,5.5474,1813359.5208
2024-09-27,5.5497,5.7555,5.3637,5.4559,1312731.7406457
2024-09-28,5.4563,5.5774,5.3301,5.5607,731102.3904
2024-09-29,5.5661,5.626,5.3543,5.5057,697871.25647396
2024-09-30,5.5054,5.5154,5.2246,5.346,671004.9336
